PERMNO,date,SHRCD,EXCHCD,SICCD,TICKER,COMNAM,SHRCLS,PRC,VOL,RET,SHROUT,NUMTRD,sprtrn
14593,19931202,11,3,3573,AAPL,APPLE COMPUTER INC,,31.75000,901856,0.007937,116147,774,0.002641
14593,19931203,11,3,3573,AAPL,APPLE COMPUTER INC,,31.50000,1091007,-0.007874,116147,755,0.003844
14593,19931206,11,3,3573,AAPL,APPLE COMPUTER INC,,32.25000,1406087,0.023810,116147,1026,0.003313
14593,19931207,11,3,3573,AAPL,APPLE COMPUTER INC,,32.25000,573047,0.000000,116147,707,0.000708
14593,19931208,11,3,3573,AAPL,APPLE COMPUTER INC,,31.87500,356301,-0.011628,116147,551,-0.001007
14593,19931209,11,3,3573,AAPL,APPLE COMPUTER INC,,30.00000,1635584,-0.058824,116147,1301,-0.004525
14593,19931210,11,3,3573,AAPL,APPLE COMPUTER INC,,28.25000,4446631,-0.058333,116147,2811,-0.000539
14593,19931213,11,3,3573,AAPL,APPLE COMPUTER INC,,29.50000,2186581,0.044248,116147,1683,0.003815
14593,19931214,11,3,3573,AAPL,APPLE COMPUTER INC,,29.12500,2625184,-0.012712,116147,1082,-0.005669
14593,19931215,11,3,3573,AAPL,APPLE COMPUTER INC,,29.75000,1109058,0.021459,116147,794,-0.002635
14593,19931216,11,3,3573,AAPL,APPLE COMPUTER INC,,29.37500,1131908,-0.012605,116147,786,0.003248
14593,19931217,11,3,3573,AAPL,APPLE COMPUTER INC,,29.50000,1315995,0.004255,116147,920,0.006561
14593,19931220,11,3,3573,AAPL,APPLE COMPUTER INC,,28.50000,1692521,-0.033898,116147,1235,-0.001136
14593,19931221,11,3,3573,AAPL,APPLE COMPUTER INC,,27.50000,2247034,-0.035088,116147,1621,-0.001181
14593,19931222,11,3,3573,AAPL,APPLE COMPUTER INC,,28.00000,1624681,0.018182,116147,1329,0.004341
14593,19931223,11,3,3573,AAPL,APPLE COMPUTER INC,,27.25000,2057105,-0.026786,116147,2068,0.000128
14593,19931227,11,3,3573,AAPL,APPLE COMPUTER INC,,28.50000,1432140,0.045872,116147,1255,0.006761
14593,19931228,11,3,3573,AAPL,APPLE COMPUTER INC,,29.12500,1428295,0.021930,116147,1314,0.000850
14593,19931229,11,3,3573,AAPL,APPLE COMPUTER INC,,28.50000,962683,-0.021459,116147,1095,-0.000764
14593,19931230,11,3,3573,AAPL,APPLE COMPUTER INC,,29.75000,2815172,0.043860,116147,2065,-0.004123
14593,19931231,11,3,3573,AAPL,APPLE COMPUTER INC,,29.25000,1442731,-0.016807,116495,1508,-0.004673
14593,19940103,11,3,3573,AAPL,APPLE COMPUTER INC,,29.87500,1623936,0.021368,116495,965,-0.002165
14593,19940104,11,3,3573,AAPL,APPLE COMPUTER INC,,31.50000,2550261,0.054393,116495,1600,0.003115
14593,19940105,11,3,3573,AAPL,APPLE COMPUTER INC,,33.75000,5500922,0.071429,116495,3008,0.001414
14593,19940106,11,3,3573,AAPL,APPLE COMPUTER INC,,32.75000,3280071,-0.029630,116495,2377,-0.000920
14593,19940107,11,3,3573,AAPL,APPLE COMPUTER INC,,33.12500,2673358,0.011450,116495,1852,0.005951
14593,19940110,11,3,3573,AAPL,APPLE COMPUTER INC,,33.62500,1809237,0.015094,116495,1476,0.011428
14593,19940111,11,3,3573,AAPL,APPLE COMPUTER INC,,31.87500,3178417,-0.052045,116495,1827,-0.002399
14593,19940112,11,3,3573,AAPL,APPLE COMPUTER INC,,30.50000,3929070,-0.043137,116495,2701,0.000084
14593,19940113,11,3,3573,AAPL,APPLE COMPUTER INC,,30.62500,4756397,0.004098,116495,2470,-0.003585
